55,27,32,21
59,36,21,23
59,37,14,19
63,43,20,39
57,43,23,27
50,28,32,31
75,33,31,26
76,56,36,36
74,36,38,23
53,40,31,28
47,36,14,26
64,40,15,20
61,47,22,24
78,43,43,26
46,35,36,22
58,31,26,33
45,19,20,20
55,31,27,16
73,40,25,30
28,30,11,14
50,35,32,12
55,25,34,16
42,38,23,27
50,26,18,27
48,13,33,18
52,29,19,20
57,14,13,29
45,21,21,7
49,26,32,21
40,33,25,20
57,22,16,17
51,25,18,20
49,32,27,19
11,27,30,16
40,30,11,18
28,38,16,19
41,19,21,6
40,12,13,16
20,22,28,7
36,19,18,12
40,15,22,12
32,20,14,8
24,19,8,17
39,17,18,24
26,22,32,21
20,13,16,8
25,15,23,9
31,13,14,15
28,19,19,7
18,16,20,12
32,22,34,21
21,16,20,9
27,17,17,6
21,14,28,8
37,14,32,7
31,12,9,22
45,16,27,11
16,11,11,11
37,13,15,9
52,19,8,19
42,18,12,10
32,5,23,3
43,20,7,8
17,13,10,15
36,17,9,12
29,16,21,12
16,6,16,17
29,7,12,8
30,7,27,16
20,15,17,7
19,7,9,5
25,15,7,6
17,13,12,12
34,15,11,9
30,11,6,16
16,13,16,15
20,15,23,8
15,12,25,7
24,15,25,5
37,26,26,13
21,17,8,9
31,14,17,18
29,14,21,14
20,22,21,12
29,5,11,10
28,11,22,9
22,4,22,12
35,16,26,10
28,14,20,5
23,13,15,15
30,14,26,14
20,12,20,8
24,13,31,11
30,20,16,14
14,15,10,8
24,14,24,12
24,15,27,14
24,10,17,16
13,24,12,10
13,11,5,12
21,10,21,4
11,19,16,11
26,13,20,12
27,20,22,12
28,16,13,5
33,15,10,19
51,23,20,11
20,18,13,12
43,28,16,20
28,31,22,8
45,27,17,17
31,38,15,19
52,40,19,5
35,33,21,22
52,41,22,16
68,28,19,10
54,29,27,19
41,41,18,17
53,31,23,15
44,37,30,18
52,27,24,8
55,33,26,19
79,39,22,14
65,40,17,22
100,49,41,38
74,72,43,28
77,48,45,40
65,61,49,25
95,50,49,41
102,61,57,36
156,81,71,45
79,40,21,55
144,56,25,68
104,35,42,74
108,109,26,98
99,76,39,76
85,75,36,96
85,65,35,93
96,75,47,113
85,91,28,107
96,78,54,107
103,84,38,104
98,82,94,115
87,95,32,114
95,112,61,117
127,92,43,132
122,109,48,108
117,101,30,114
151,101,49,133
138,118,82,129
119,106,40,138
136,114,50,158
139,118,39,159
153,121,40,162
137,133,41,184
129,100,53,196
145,118,50,191
143,121,57,204
160,149,61,196
163,135,61,181
162,147,54,191
136,144,45,183
160,153,143,180
160,151,123,183
150,153,131,179
144,159,132,160
143,153,131,162
151,152,142,176
132,155,131,172
142,160,115,203
151,132,136,174
141,121,123,172
129,156,131,150
147,139,130,156
127,156,124,148
118,131,113,148
125,142,101,153
110,148,107,166
126,137,110,171
124,130,119,163
130,123,122,174
107,136,115,187
145,142,131,155
136,162,132,201
154,165,127,188
153,141,120,201
